UID,JOIN_DATE
47,2009-01-11
95,2009-03-10
98,2009-01-29
112,2009-01-19
141,2009-11-13
147,2010-02-14
160,2009-12-13
177,2010-02-08
180,2009-05-19
182,2009-01-27
200,2009-04-07
202,2009-03-22
207,2009-01-13
225,2009-01-28
230,2009-02-10
253,2009-01-06
277,2009-01-14
407,2009-02-09
457,2009-01-13
464,2009-02-19
550,2009-01-12
616,2009-01-24
807,2009-05-19
825,2009-12-21
891,2009-01-13
899,2009-01-20
937,2010-01-12
940,2010-01-04
1023,2009-05-10
1027,2009-12-27
1409,2009-03-01
1558,2009-01-06
1588,2009-02-10
1625,2009-01-14
1701,2009-08-18
1844,2009-09-30
1925,2009-10-24
2195,2009-03-10
2235,2010-01-07
2583,2009-02-04
2930,2009-02-21
3181,2009-02-17
3190,2009-01-06
3194,2009-01-06
3197,2010-01-05
3355,2009-01-13
3385,2009-01-14
3394,2009-01-15
3616,2009-01-28
3640,2009-01-29
3733,2009-02-04
3767,2009-02-10
3889,2009-02-12
4058,2009-02-16
4152,2009-02-18
4160,2009-02-18
4244,2009-02-20
4270,2009-02-22
4433,2009-03-01
4516,2009-04-12
4577,2009-05-22
4622,2009-03-09
4640,2009-04-17
4642,2009-06-16
4658,2009-03-10
4851,2009-03-15
4862,2009-03-15
4903,2009-03-16
4973,2009-03-19
4976,2009-03-19
5378,2009-03-31
5408,2009-04-17
5423,2009-04-01
5441,2009-04-02
5449,2009-04-02
5534,2009-04-08
5564,2009-06-09
5638,2009-04-30
5654,2009-05-01
5656,2009-05-07
5657,2009-04-24
5664,2009-04-17
5682,2009-05-08
5686,2009-04-23
5708,2009-04-17
5805,2009-04-17
5831,2009-04-10
5894,2009-05-01
5977,2009-04-13
5983,2009-04-17
6003,2009-04-13
6012,2009-04-13
6016,2009-12-03
6019,2009-04-13
6069,2009-05-12
6097,2009-04-24
6153,2009-04-16
6224,2009-05-19
6225,2009-05-28
6245,2009-04-17
6249,2009-04-17
6251,2009-04-17
6261,2009-04-17
6370,2010-01-24
6379,2009-05-27
6384,2009-05-07
6401,2009-05-21
6408,2009-05-27
6447,2009-04-24
6476,2010-02-14
6578,2009-04-22
6602,2009-05-01
6646,2009-04-23
6664,2009-04-24
6696,2009-04-23
6821,2009-04-23
6901,2009-04-24
6946,2009-04-24
6948,2009-04-24
8843,2009-04-27
9840,2009-05-01
10855,2009-04-30
10858,2009-04-30
10859,2009-04-30
10876,2009-05-01
10901,2009-05-01
10938,2009-07-09
12173,2009-05-04
13043,2009-05-06
13202,2009-05-07
13229,2009-05-08
13232,2009-05-07
13278,2009-05-07
13284,2009-05-07
13290,2009-05-28
13301,2009-05-08
13304,2009-05-08
13341,2009-05-12
13361,2009-12-22
14027,2009-05-14
14056,2009-05-15
14057,2009-05-14
14246,2009-05-15
14600,2009-05-17
14635,2009-05-18
14842,2009-05-18
14887,2009-08-07
14913,2009-05-19
14924,2009-05-19
15529,2009-05-22
15889,2009-05-20
15893,2009-06-02
15914,2009-05-21
15986,2009-09-30
15987,2009-05-21
16173,2009-05-22
16314,2009-05-25
16614,2009-05-24
17040,2009-05-25
17416,2009-05-27
17533,2009-05-27
17928,2009-05-29
18943,2009-07-15
19271,2009-06-03
19347,2009-06-03
19579,2009-06-03
19768,2009-06-04
19891,2009-06-05
19892,2009-06-10
20515,2009-06-06
20805,2009-06-08
20994,2009-06-09
21194,2009-06-10
21243,2009-08-17
21254,2009-06-11
21267,2009-06-15
21275,2009-06-11
21385,2009-06-11
21718,2010-01-04
21750,2009-06-12
21943,2009-06-14
22186,2009-06-15
22418,2009-06-17
22446,2009-07-02
22494,2009-06-17
22682,2009-06-17
22684,2009-06-17
22705,2009-06-17
22717,2009-06-25
22722,2009-06-17
22745,2009-06-18
22761,2009-06-17
23323,2009-06-21
23334,2009-07-13
23405,2009-12-13
26788,2009-06-25
27169,2009-07-02
27428,2009-07-13
27585,2009-08-19
28318,2009-07-10
28511,2010-01-31
29284,2009-06-30
29605,2009-08-27
29816,2009-07-01
29855,2009-07-01
29878,2009-07-01
30131,2009-07-02
30222,2009-07-02
30225,2009-07-02
30554,2009-07-03
31492,2009-07-05
31971,2009-07-05
32014,2009-07-06
33104,2009-07-08
33227,2009-07-09
33309,2009-07-09
33428,2009-07-09
33434,2009-07-20
33468,2009-07-09
33534,2009-07-09
33561,2009-07-10
33566,2009-11-10
33581,2009-07-10
33590,2009-07-10
33600,2009-07-10
33829,2009-10-29
34042,2009-07-12
35051,2009-07-13
35068,2009-07-12
36090,2009-07-13
36175,2009-07-13
36350,2009-07-14
36360,2009-07-14
36662,2009-07-18
36695,2009-08-20
37855,2009-07-20
38520,2009-07-18
38721,2009-07-19
38740,2009-07-22
38857,2009-08-10
38909,2009-07-20
39241,2009-10-01
39588,2009-08-10
39693,2009-07-27
40100,2009-07-25
40432,2009-08-03
41246,2009-07-27
42270,2009-07-28
42704,2009-07-29
42890,2009-07-29
42964,2009-07-29
43317,2009-08-03
43350,2009-07-29
43937,2009-07-31
44291,2009-08-01
44991,2010-01-24
45389,2009-08-07
45949,2009-08-06
46256,2009-08-10
46297,2009-08-06
46321,2009-08-07
46370,2009-08-07
46548,2009-08-07
47415,2009-08-19
48039,2009-08-12
48426,2009-11-11
49086,2009-08-14
50065,2009-08-18
50406,2009-08-17
50451,2009-09-08
51374,2009-08-23
53025,2009-08-23
53420,2009-08-24
54175,2009-08-25
54551,2009-11-21
54885,2009-08-26
54930,2009-08-26
55829,2010-02-21
56227,2009-08-27
58238,2009-09-01
59066,2009-08-31
59561,2009-09-01
59575,2009-11-18
59579,2009-10-27
61089,2009-09-03
61628,2009-09-08
63469,2009-11-21
65466,2009-09-09
65502,2009-09-11
66363,2009-09-29
66479,2009-09-15
66768,2009-09-11
66777,2009-09-11
67453,2009-09-11
68962,2009-09-14
70788,2009-09-23
70857,2009-09-17
71059,2009-10-06
71130,2009-09-17
72429,2009-09-30
73087,2009-09-20
73651,2010-02-10
74393,2009-11-05
74435,2009-09-28
75134,2009-09-23
75240,2009-09-23
75547,2009-10-23
75600,2009-09-24
75603,2009-09-24
75629,2009-09-24
